YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2023,5,10,0.5,34.5,26.5,74,2,80
2023,5,11,0,33.7,28.1,73,3,120
2023,5,12,0,34.2,27.7,72,2,120
2023,5,13,0,35.8,28.8,66,3,150
2023,5,14,3,34.1,27.4,77,3,230
2023,5,15,4,34.9,25.6,76,4,260
2023,5,16,1.5,32.9,26.1,83,3,220
2023,5,17,-1,32.9,28.3,78,3,190
2023,5,18,-1,33.6,27.7,76,3,280
2023,5,19,17.5,33.1,27.2,75,3,270
2023,5,20,33,31.8,24.6,81,2,260
2023,5,21,-1,33.6,27.7,77,3,270
2023,5,22,2.5,32.8,27.5,78,3,260
2023,5,23,0,33.4,27.1,78,6,260
2023,5,24,13,34.9,25.8,84,2,260
2023,5,25,47.5,33.9,24.1,79,2,280
2023,5,26,4,33.7,26.6,85,2,130
2023,5,27,-1,32.9,26.6,78,3,280
2023,5,28,0,32.9,29.2,73,6,260
2023,5,29,0,34.3,29.3,73,7,290
2023,5,30,2,33.2,26.9,78,6,250
2023,5,31,33.5,33,23,84,7,260
2023,6,1,8,32.4,23.8,77,5,250
2023,6,2,1,31.3,25.5,81,4,260
2023,6,3,0,31.9,26.8,71,3,260
2023,6,4,0.5,35.5,26.8,76,2,260
2023,6,5,0,35.8,28,71,2,120
2023,6,6,10,33,25.2,84,2,310
2023,6,7,5.5,33.6,26.9,90,2,280
2023,6,8,9.5,32.6,26.4,78,3,250
2023,6,9,-1,32.1,26.1,78,5,260
2023,6,10,48.5,31.4,24.7,83,3,250
2023,6,11,25,29.6,24.5,92,3,240
2023,6,12,6,31.9,25.2,90,2,220
2023,6,13,0,32.6,27.1,80,3,260
2023,6,14,-1,32.5,27.4,80,4,220
2023,6,15,19.5,32.6,26.2,83,3,270
2023,6,16,3.5,34.4,24.8,70,3,130
2023,6,17,0,35.6,26.9,62,3,110
2023,6,18,0,35.4,27.5,69,2,150
2023,6,19,18.5,35.2,25.8,77,3,70
2023,6,20,0,33.5,27.4,77,2,280
2023,6,21,0.5,34.4,27.7,72,2,260
2023,6,22,13.5,36.3,25.4,67,2,260
2023,6,23,0,35.5,27.4,67,2,110
2023,6,24,-1,34.7,27.1,74,3,110
2023,6,25,5,31.9,25.4,74,2,110
2023,6,26,1.5,33.3,26.5,81,2,80
2023,6,27,68.5,32,24.8,83,2,300
2023,6,28,17,34.3,25.8,78,2,130
2023,6,29,3,31.3,26.4,86,2,260
2023,6,30,0,31.8,27.1,92,3,260
2023,7,1,-1,35.8,27.3,74,2,110
2023,7,2,24,34.7,23.9,83,2,270
